ItemCode	ItemName	ForeignName	ItemsGroupCode	CustomsGroupCode	SalesVATGroup	BarCode	VatLiable	PurchaseItem	SalesItem	InventoryItem	IncomeAccount	ExemptIncomeAccount	ExpanseAccount	Mainsupplier	SupplierCatalogNo	DesiredInventory	MinInventory	Picture	User_Text	SerialNum	CommissionPercent	CommissionSum	CommissionGroup	TreeType	AssetItem	DataExportCode	Manuacturer	ManageSerialNumbers	ManageBatchNumbers	Valid	ValidFrom	ValidTo	ValidRemarks	Frozen	FrozenFrom	FrozenTo	FrozenRemarks	SalesUnit	SalesItemsPerUnit	SalesPackagingUnit	SalesQtyPerPackUnit	SalesUnitLength	SalesLengthUnit	SalesUnitWidth	SalesWidthUnit	SalesUnitHeight	SalesHeightUnit	SalesUnitVolume	SalesVolumeUnit	SalesUnitWeight	SalesWeightUnit	PurchaseUnit	PurchaseItemsPerUnit	PurchasePackagingUnit	PurchaseQtyPerPackUnit	PurchaseUnitLength	PurchaseLengthUnit	PurchaseUnitWidth	PurchaseWidthUnit	PurchaseUnitHeight	PurchaseHeightUnit	PurchaseUnitVolume	PurchaseVolumeUnit	PurchaseUnitWeight	PurchaseWeightUnit	PurchaseVATGroup	SalesFactor1	SalesFactor2	SalesFactor3	SalesFactor4	PurchaseFactor1	PurchaseFactor2	PurchaseFactor3	PurchaseFactor4	ForeignRevenuesAccount	ECRevenuesAccount	ForeignExpensesAccount	ECExpensesAccount	AvgStdPrice	DefaultWarehouse	ShipType	GLMethod	TaxType	MaxInventory	ManageStockByWarehouse	PurchaseHeightUnit1	PurchaseUnitHeight1	PurchaseLengthUnit1	PurchaseUnitLength1	PurchaseWeightUnit1	PurchaseUnitWeight1	PurchaseWidthUnit1	PurchaseUnitWidth1	SalesHeightUnit1	SalesUnitHeight1	SalesLengthUnit1	SalesUnitLength1	SalesWeightUnit1	SalesUnitWeight1	SalesWidthUnit1	SalesUnitWidth1	ForceSelectionOfSerialNumber	ManageSerialNumbersOnReleaseOnly	WTLiable	CostAccountingMethod	SWW	WarrantyTemplate	IndirectTax	ArTaxCode	ApTaxCode	BaseUnitName	ItemCountryOrg	IssueMethod	SRIAndBatchManageMethod	IsPhantom	InventoryUOM	PlanningSystem	ProcurementMethod	OrderIntervals	OrderMultiple	LeadTime	MinOrderQuantity	ItemType	ItemClass	OutgoingServiceCode	IncomingServiceCode	ServiceGroup	NCMCode	MaterialType	MaterialGroup	ProductSource	Properties1	Properties2	Properties3	Properties4	Properties5	Properties6	Properties7	Properties8	Properties9	Properties10	Properties11	Properties12	Properties13	Properties14	Properties15	Properties16	Properties17	Properties18	Properties19	Properties20	Properties21	Properties22	Properties23	Properties24	Properties25	Properties26	Properties27	Properties28	Properties29	Properties30	Properties31	Properties32	Properties33	Properties34	Properties35	Properties36	Properties37	Properties38	Properties39	Properties40	Properties41	Properties42	Properties43	Properties44	Properties45	Properties46	Properties47	Properties48	Properties49	Properties50	Properties51	Properties52	Properties53	Properties54	Properties55	Properties56	Properties57	Properties58	Properties59	Properties60	Properties61	Properties62	Properties63	Properties64	AutoCreateSerialNumbersOnRelease	DNFEntry	GTSItemSpec	GTSItemTaxCategory	U_u_familiaa	U_SubFamilia	U_Marca
CODIGO DE ARTICULO	NOMBRE DE ARTICULO	NOMBRE EXTRANJERO	GRUPO DE ARTICULO	GRUPO DE ADUANA	VatGourpSa	CodeBars	SUJETO A IMPUESTO	DE COMPRA	DE VENTAS	DE INVENTARIO	IncomeAcct	ExmptIncom	ExpensAcct	CODIGO DE PROVEEDOR	Código del articulo x proveedor	ReorderQty	Mínimo	PicturName	UserText	SerialNum	CommisPcnt	CommisSum	CommisGrp	TreeType	ACTIVO FIJO	ExportCode	ABRICANTE	ManSerNum	ManBtchNum	validFor	validFrom	validTo	ValidComm	frozenFor	frozenFrom	frozenTo	FrozenComm	SalUnitMsr	NumInSale	SalPackMsr	SalPackUn	SLength1	SLen1Unit	SWidth1	SWdth1Unit	SHeight1	SHght1Unit	SVolume	SVolUnit	SWeight1	SWght1Unit	UND MED COMPRAS	CANT POR UND DE COMPRAS	PurPackMsr	PurPackUn	BLength1	LONGITUD	ANCHO	BWdth1Unit	ALTO	BHght1Unit	VOLUMEN	BVolUnit	BWeight1	BWght1Unit	VatGroupPu	SalFactor1	SalFactor2	SalFactor3	SalFactor4	PurFactor1	PurFactor2	PurFactor3	PurFactor4	FrgnInAcct	ECInAcct	FrgnExpAcc	ECExpAcc	AvgPrice	DfltWH	ShipType	TIPO DE CONTABILIZACION	TaxType	Máximo	GESTION DE STOCK	BHght2Unit	BHeight2	BLen2Unit	Blength2	BWght2Unit	BWeight2	BWdth2Unit	BWidth2	SHght2Unit	SHeight2	SLen2Unit	Slength2	SWght2Unit	SWeight2	SWdth2Unit	SWidth2	BlockOut	ManOutOnly	WTLiable	EvalSystem	SWW	WarrntTmpl	IndirctTax	TaxCodeAR	TaxCodeAP	BaseUnit	CountryOrg	IssueMthd	MngMethod	Phantom	InvntryUom	PlaningSys	PrcrmntMtd	OrdrIntrvl	OrdrMulti	TIEMPO DE ENTREGA EN Horas	MinOrdrQty	ItemType	ItemClass	OSvcCode	ISvcCode	ServiceGrp	NCMCode	MatType	MatGrp	ProductSrc	QryGroup1	QryGroup2	QryGroup3	QryGroup4	QryGroup5	QryGroup6	QryGroup7	QryGroup8	QryGroup9	QryGroup10	QryGroup11	QryGroup12	QryGroup13	QryGroup14	QryGroup15	QryGroup16	QryGroup17	QryGroup18	QryGroup19	QryGroup20	QryGroup21	QryGroup22	QryGroup23	QryGroup24	QryGroup25	QryGroup26	QryGroup27	QryGroup28	QryGroup29	QryGroup30	QryGroup31	QryGroup32	QryGroup33	QryGroup34	QryGroup35	QryGroup36	QryGroup37	QryGroup38	QryGroup39	QryGroup40	QryGroup41	QryGroup42	QryGroup43	QryGroup44	QryGroup45	QryGroup46	QryGroup47	QryGroup48	QryGroup49	QryGroup50	QryGroup51	QryGroup52	QryGroup53	QryGroup54	QryGroup55	QryGroup56	QryGroup57	QryGroup58	QryGroup59	QryGroup60	QryGroup61	QryGroup62	QryGroup63	QryGroup64	ManOutOnly	DNFEntry	Spec	TaxCtg	U_u_familiaa	U_SubFamilia	U_Marca
11001385085	"TERM PRENS P/VAPOR MACHO 1/4""X5/16"""	"TERM PRENS P/VAPOR MACHO 1/4""X5/16"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
11001385086	"TERM PRENS P/VAPOR MACHO 1/4""X3/8"""	"TERM PRENS P/VAPOR MACHO 1/4""X3/8"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
11001385087	TERM S ORING MACHO P/2MALLA1/4x1/4PARK	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001385088	TERM S ORING MACHO P/2MALLA3/8x1/2PARK	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001385089	TERM S ORING MACHO P/2MALLA3/4x1/2PARK	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001385090	TERM S ORING MACHO P/2MALLA1x1 PARKER	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001385091	TERM S ORING MACHO P/2 MALLA1-1/4x1-1/4	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001385092	TERM.HEMBRA JIC 3/8 X 3/8	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	38
11001505093	TERM HEMB RECTO 1/2 MANG 3/4 JIC JASON	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		5	tNO																															UND																																																																																				1100	1	50
11001505094	TERM HEMB JIC RECTO 3/4 MANG 1 JASON	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		5	tNO																															UND																																																																																				1100	1	50
11001505095	TERM HEMB JIC 90° 1/4 MANG 1/4 FLEXTRA E04-04FJ45	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									NULL														NULL																														W		10	tNO																															NULL																																																																																				1100	1	50
11001505096	TERM HEMB JIC45° 1MANG1F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505097	TERM HEMB JIC 90° CUELLO-LGO3/8MANG1/4 JASON	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		3	tNO																															UND																																																																																				1100	1	50
11001505098	TERM HMB S-PLNO RCTO1-1/4MANG1-1/4F e20-20FF	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		5	tNO																															UND																																																																																				1100	1	50
11001505099	TERM HEMB S-PLNO 45° 1 MANG1 F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		1	tNO																															UND																																																																																				1100	1	50
11001505100	TERM S-PLANO PRENSADO 3/8x1/2 90º F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505101	TERM S-PLANO PRENSADO 1/2x5/8 90º F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		5	tNO																															UND																																																																																				1100	1	50
11001505102	TERM.HEMBRA FA  1/4 x 1/4 MANGUERA	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505103	TERM HBRA JIRAT CÑRIA RCTO1/4MANG1/4 F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505104	TERM HBRA JIRAT CÑRIA RCTO3/8MANG3/8 F	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505105	TERM MACHO JIC RECTO 1 MANG 3/4 JASON E12-16MJ	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505106	"TERMINAL DE 2"" 100R2 SERIE 61 E32-32FL"	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001505107	TERM HEMB ROSCA INGLESA 3/8 MANG 3/8 F	TERM HEMB ROSCA INGLESA 3/8 MANG 3/8 F	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UN D																														W		9	tNO																															UND																																																																																				1100	1	50
11001505108	TERM HEMB ROSCA INGLESA 1/2 MANG 1/2 JASON	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															NULL																																																																																				1100	1	50
11001505109	TERM,HIDRAULICA5/8MANG, ROSCA MILI, E10-26FMS	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001425110	TERM HEMBRA ROSCA mm LIGTH ORING MANG 3/4 E12-30FML	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		1	tNO																															UND																																																																																				1100	1	42
11001425111	TERM HEMB ROSCA mm LIGTH ORING45°MANG3/8 JASON E06-18FML45	TERM HEMB ROSCA mm LIGTH ORING45°MANG3/8 JASON E06-18FML45	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	42
11001425112	TERM HEMB ROSCA mm LIGTH ORING90°MANG1/2	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	42
11001505113	TERM HEMB ROSCA mm LIGTH ORING MANG 3/4	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	50
11001565114	TERM P/A/C  MACHO RECTO  1/4 X 1/4 PAR	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001565115	TERM P/A/C MACHO RECTO 1/4 X 3/8 PARKE	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001385116	"terminal NPT Macho 3/4"" e12-12mp"	NULL	102				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		4	tNO																															NULL																																																																																				1100	1	38
11001425117	TERMINAL	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	42
11001565118	TERM PRENS HEMB MILIM 5/8 X 5/8 PARKER	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001565119	TERM MILIM HEMB PRENS  1/4 X 1/4 PARKE	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001565120	TERM MILIM HEMB PRENS 3/8 X 3/8 PARKER	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001565121	TERM MILIM HEMB PRENS  1/2 X 1/2 PARKE	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
100025745122	"MANOMETRO LF/SS 2.5"" 0-15000 PSI/KPA 1/4"" BOTTON"	NULL	108				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1000	25	74
11001565123	TERM MILIM HEMB PRENS 1-1/4 X 1-1/4 PA	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001565124	TERM MILIM HEMB PRENS 1-1/2 X 1-1/2 PA	NULL	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				1100	1	56
11001385125	"TERM REUSABLE MACHO 1/4""X3/16"""	"TERM REUSABLE MACHO 1/4""X3/16"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
11001385126	"TERMINAL REUSABLE MACHO 1"" X 1"""	"TERMINAL REUSABLE MACHO 1"" X 1"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
11001385127	"TERM REUSABLE MACHO 1-1/4""X1-1/4"""	"TERM REUSABLE MACHO 1-1/4""X1-1/4"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
11001385128	"TERM REUSABLE MACHO 1-1/2""X1-1/2"""	"TERM REUSABLE MACHO 1-1/2""X1-1/2"""	110				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				1100	1	38
