ParentKey	LineNum	PriceList	Price	Currency
ItemCode	LineNum	PriceList	Price	Currency
100025725852		1	51.67	USD
100025725853		1	45.74	USD
100025725854		1	21.2	USD
100025725855		1	45.74	USD
100025725856		1	45.74	USD
100025725857		1	51.67	USD
100025725858		1	47.44	USD
12002505859		1	266.6331	USD
12002505860		1	141.611	USD
12002505861		1	63.6696	USD
12002505862		1	23.754	USD
12002505863		1	200	USD
100025745864		1	38.31	USD
100025745865		1	18.64	USD
100025725866		1	58.68	USD
10027385867		1	2.35	USD
10027385868		1	2.12	USD
10027385869		1	3.4	USD
10027365870		1	1.93	USD
10027365871		1	0.37	USD
10027365872		1	0.35	USD
10027385873		1	6.16	USD
10027365874		1	0	USD
10027385875		1	2.1254	USD
10027385876		1	1.0153	USD
10027385877		1	0.9727	USD
10027385878		1	1.432	USD
10010365879		1	0.21	USD
10010365880		1	0.19	USD
10010365881		1	0.256	USD
10010365882		1	0.29	USD
10010365883		1	1.45	USD
2002325884		1	50.89	USD
2002325885		1	35.83	USD
2002325886		1	27.04	USD
1002385887		1	2.83	USD
10010365888		1	0.28	USD
10010365889		1	0.62	USD
2002325890		1	91.69	USD
2002505891		1	5.69	USD
2002325892		1	14.13	USD
10027385893		1	0.6235	USD
10027385894		1	0.68	USD
10027385895		1	1.7	USD
10010365896		1	0.22	USD
10010365897		1	0.33	USD
10010365898		1	1.11	USD
10027385899		1	5.23	USD
10027385900		1	0.1654	USD
10027385901		1	0.43	USD
10027385902		1	0.37	USD
10027385903		1	0.23	USD
50013145904		1	160	USD
100026725905		1	140	USD
100026725906		1	189.84	USD
100026725907		1	22.66	USD
100026725908		1	32.67	USD
100026725909		1	75	USD
100026725910		1	21.69	USD
100026725911		1	46.9	USD
100026725912		1	85.39	USD
100026745913		1	60	USD
100026745914		1	54.59	USD
100026745915		1	54.59	USD
100026745916		1	23	USD
100026745917		1	15.42	USD
100026745918		1	36	USD
100026745919		1	54.59	USD
100026745920		1	33.35	USD
100026745921		1	50	USD
100026745922		1	36.01	USD
100026745923		1	36.01	USD
100026745924		1	17	USD
100026745925		1	54.59	USD
100026745926		1	25	USD
100026745927		1	53	USD
100026745928		1	25	USD
100026745929		1	39.3	USD
100026745930		1	45.49	USD
100026745931		1	25	USD
11001425932		1	13.75	USD
11001425933		1	44.8893	USD
11001505934		1	17.6293	USD
11001505935		1	14.8484	USD
11001505936		1	17.9515	USD
11001505937		1	11.7453	USD
11001505938		1	15.7908	USD
11001505939		1	13.86	USD
11001505940		1	36.9139	USD
11001505941		1	14.986	USD
11001505942		1	11.1936	USD
11001385943		1	7.32	USD
11001385944		1	10	USD
11001385945		1	0	USD
11001425946		1	22.25	USD
11001425947		1	12	USD
11002325948		1	1.95	USD
11002325949		1	6.5	USD
