ParentKey	LineNum	PriceList	Price	Currency
ItemCode	LineNum	PriceList	Price	Currency
11001385085		1	5	USD
11001385086		1	5	USD
11001385087		1	5.55	USD
11001385088		1	8.65	USD
11001385089		1	10.56	USD
11001385090		1	21.53	USD
11001385091		1	39.5	USD
11001385092		1	1.34	USD
11001505093		1	4.7121	USD
11001505094		1	9.5619	USD
11001505095		1	3.2181	USD
11001505096		1	12.6	USD
11001505097		1	5.2174	USD
11001505098		1	17.1926	USD
11001505099		1	11.1936	USD
11001505100		1	4.7807	USD
11001505101		1	7.8147	USD
11001505102		1	1.7699	USD
11001505103		1	2.1607	USD
11001505104		1	3.1031	USD
11001505105		1	8.1137	USD
11001505106		1	32.2941	USD
11001505107		1	2.735	USD
11001505108		1	3.3789	USD
11001505109		1	4.6199	USD
11001425110		1	6.298	USD
11001425111		1	3.7465	USD
11001425112		1	4.4131	USD
11001505113		1	6.3206	USD
11001565114		1	1.33	USD
11001565115		1	11.35	USD
11001385116		1	1.18	USD
11001425117		1	29.7897	USD
11001565118		1	6.49	USD
11001565119		1	8.65	USD
11001565120		1	9.49	USD
11001565121		1	14.71	USD
100025745122		1	20.24	USD
11001565123		1	93.3	USD
11001565124		1	12.59	USD
11001385125		1	5	USD
11001385126		1	0	
11001385127		1	10	USD
11001385128		1	0	
11001385129		1	8.59	USD
11001385130		1	7.44	USD
11001385131		1	2.05	USD
11001385132		1	4.28	USD
11001385133		1	10	USD
11001265134		1	5.28	USD
11001265135		1	2.71	USD
11001265136		1	2.82	USD
11001265137		1	2.92	USD
11001265138		1	8.15	USD
11001265139		1	9.36	USD
11001265140		1	2.4	USD
11001265141		1	6.09	USD
11001265142		1	4.3	USD
11001265143		1	5.99	USD
11001265144		1	2.65	USD
11001265145		1	1.85	USD
11001265146		1	6.64	USD
11001265147		1	1.88	USD
11001265148		1	10.3	USD
11001385149		1	0	
11001385150		1	0	
11001385151		1	0	
11001385152		1	0	
11001385153		1	0	
11001385154		1	5	USD
11001385155		1	5	USD
11001385156		1	5	USD
11001385157		1	6	USD
11001385158		1	10	USD
11001385159		1	8	USD
11001385160		1	10	USD
11001385161		1	10	USD
11001385162		1	31.94	USD
11001385163		1	3.87	USD
11001385164		1	5.02	USD
11001385165		1	11	USD
11001385166		1	5	USD
11001385167		1	6.9	USD
11001385168		1	11	USD
11001385169		1	9	USD
11001265170		1	12.4	USD
11001265171		1	22.15	USD
11001265172		1	19.93	USD
11001385173		1	4	USD
11001385174		1	0	
11001385175		1	10	USD
11001385176		1	5	USD
11001385177		1	6	USD
11001385178		1	8	USD
11001385179		1	6	USD
11001385180		1	0	
11001385181		1	0	
11001425182		1	3.1	USD
11001425183		1	1	USD
11001425184		1	8.44	USD
11001425185		1	8.31	USD
11001425186		1	18.04	USD
11001425187		1	13.75	USD
11001425188		1	22.25	USD
11001425189		1	0	
11002325190		1	28.95	USD
11002325191		1	37.24	USD
11001605192		1	1.47	USD
11001605193		1	2.2	USD
11001425194		1	4.47	USD
11001605195		1	11.52	USD
11001605196		1	7.7	USD
11001605197		1	3.37	USD
11001605198		1	8.58	USD
11001505199		1	4.5812	USD
11001505200		1	3.8156	USD
11002325201		1	134.08	USD
11002325202		1	28.06	USD
11002325203		1	110.95	USD
11001505204		1	5.6082	USD
11001425205		1	8.2514	USD
11001505206		1	7.0564	USD
11002325207		1	36.47	USD
11002325208		1	49.73	USD
11002325209		1	34.01	USD
11001505210		1	36.9139	USD
11001505211		1	26.5019	USD
11001505212		1	13.4002	USD
11001505213		1	32.7534	USD
11001505214		1	14.8484	USD
11001505215		1	20.7782	USD
11001505216		1	17.6293	USD
11001505217		1	27.9036	USD
11001505218		1	6.0912	USD
11001505219		1	8.5045	USD
11001505220		1	7.5621	USD
11001505221		1	9.7919	USD
11001505222		1	9.7919	USD
100025725223		1	16.45	USD
100025725224		1	16.45	USD
100025725225		1	16.45	USD
100025725226		1	16.45	USD
100025725227		1	16.45	USD
100025725228		1	16.45	USD
100025725229		1	16.45	USD
100025725230		1	16.45	USD
100025725231		1	81.03	USD
100025725232		1	174.59	USD
11001505233		1	4.78	USD
100025725234		1	17.25	USD
100025725235		1	52.14	USD
100025725236		1	93.96	USD
100026745237		1	30	USD
100025725238		1	43.03	USD
100025725239		1	93.96	USD
100025725240		1	98.64	USD
100025725241		1	117.09	USD
100025725242		1	98.64	USD
100025725243		1	51.67	USD
100025725244		1	51.03	USD
100025725245		1	97.09	USD
100025725246		1	97.09	USD
100025725247		1	21.2	USD
100025725248		1	51.67	USD
100025725249		1	45.74	USD
100025725250		1	45.74	USD
100025725251		1	45.74	USD
11001505252		1	27.0071	USD
11001505253		1	39.8788	USD
11001505254		1	27.0071	USD
11001505255		1	39.8788	USD
11001505256		1	36.4314	USD
11002325257		1	57.84	USD
11001505258		1	11.1936	USD
11001505259		1	13.86	USD
11001505260		1	15.7908	USD
11001505261		1	15.7908	USD
11001505262		1	11.7453	USD
11001505263		1	12.8944	USD
11001505264		1	22.9621	USD
11001505265		1	14.986	USD
11001505266		1	17.9515	USD
11001505267		1	2.4	USD
100019725268		1	42.7	USD
100025725269		1	34.45	USD
100025725270		1	37.45	USD
100025725271		1	209.56	USD
100025725272		1	110.98	USD
100025725273		1	72.26	USD
100025725274		1	23.83	USD
100025725275		1	34.41	USD
100025725276		1	19.75	USD
100025725277		1	20.95	USD
100025725278		1	21.4	USD
100025725279		1	21.4	USD
100025725280		1	44.36	USD
100025725281		1	44.36	USD
100025725282		1	42.97	USD
100025725283		1	42.97	USD
100025725284		1	42.97	USD
100025725285		1	42.97	USD
100025725286		1	42.97	USD
100025725287		1	45.82	USD
100025725288		1	51.03	USD
100025725289		1	56.61	USD
100025725290		1	81.03	USD
100025725291		1	81.03	USD
100025725292		1	81.03	USD
100025725293		1	81.03	USD
100025725294		1	81.03	USD
100025725295		1	81.03	USD
100025725296		1	81.03	USD
100025725297		1	81.03	USD
100025725298		1	81.03	USD
100025725299		1	81.03	USD
100025725300		1	81.03	USD
100025725301		1	81.03	USD
100025725302		1	81.03	USD
100025725303		1	81.03	USD
100025725304		1	81.03	USD
100025725305		1	81.03	USD
100025725306		1	81.03	USD
100025725307		1	45.82	USD
100025725308		1	86.89	USD
100025725309		1	86.89	USD
100025725310		1	86.89	USD
100025725311		1	90.03	USD
100025725312		1	95.02	USD
100025725313		1	51.03	USD
100025725314		1	51.03	USD
100025725315		1	51.03	USD
100025725316		1	48.63	USD
100025725317		1	44.9	USD
100025725318		1	53.1	USD
100025725319		1	53.1	USD
100025725320		1	53.1	USD
100025725321		1	53.1	USD
100025725322		1	51.03	USD
100025725323		1	51.03	USD
100025725324		1	58.68	USD
100025725325		1	58.68	USD
100025725326		1	58.68	USD
100025725327		1	58.68	USD
100025725328		1	56.61	USD
100025725329		1	35	USD
100025725330		1	89.78	USD
100025725331		1	89.78	USD
100025725332		1	89.78	USD
100025725333		1	89.78	USD
100025725334		1	89.78	USD
100025725335		1	89.78	USD
100025725336		1	89.78	USD
100025725337		1	89.78	USD
100025725338		1	89.78	USD
100025725339		1	17.25	USD
100025725340		1	47.44	USD
100025725341		1	84.94	USD
100025725342		1	109.96	USD
100025725343		1	109.93	USD
100025725344		1	52.14	USD
100025725345		1	53.88	USD
100025725346		1	52.14	USD
100025725347		1	52.14	USD
100025725348		1	52.14	USD
100025725349		1	93.96	USD
100025725350		1	93.96	USD
100025725351		1	97.09	USD
100025725352		1	47.09	USD
100025725353		1	38.85	USD
100025725354		1	43.03	USD
100025725355		1	41.64	USD
100025725356		1	41.64	USD
100025725357		1	43.65	USD
100025725358		1	91.02	USD
100025725359		1	81.03	USD
100025725360		1	39.71	USD
11002325361		1	4.753	USD
11002325362		1	87.74	USD
11002325363		1	36.67	USD
11002325364		1	105	USD
11002325365		1	6.5	USD
11002325366		1	33.84	USD
11001425367		1	2.58	USD
11001425368		1	10.6714	USD
11001425369		1	3.24	USD
11001425370		1	8.03	USD
11001425371		1	3.46	USD
11001425372		1	2.6	USD
11001425373		1	4.5833	USD
11001425374		1	17.6	USD
11001425375		1	3.44	USD
